date,Open,High,Low,Close,Volume,OpenInterest,adj_fct
2016/8/3,6072.8,6124.8,6063,6102.6,10729,22089,1
2016/8/4,6109.8,6166.6,6086.4,6164.8,10270,21736,1
2016/8/5,6155.8,6169.6,6128.8,6147.2,9936,21337,1
2016/8/8,6144.4,6248.6,6088.4,6248.2,12776,21782,1
2016/8/9,6247.8,6302.8,6237.4,6297.2,10365,21318,1
2016/8/10,6295.8,6321.4,6274.4,6286.2,9411,20816,1
2016/8/11,6279.6,6286,6193,6196,12373,20277,1
2016/8/12,6200,6295.6,6177,6260.4,12572,18868,1
2016/8/15,6285.2,6455.4,6263,6405.2,13954,16057,1
2016/8/16,6425,6480,6425,6458.2,10161,12880,1
2016/8/17,6448,6488.6,6431,6470.8,8868,8917,1
2016/8/18,6475.6,6520.2,6457,6484.6,6678,4418,1
2016/8/19,6386.2,6419.8,6345,6385.6,10250,23846,1
2016/8/22,6391.2,6428,6306.2,6320.6,10581,24766,1
2016/8/23,6334.8,6360.4,6234.2,6308.6,11066,24779,1
2016/8/24,6336.8,6364.4,6295.6,6314.2,10619,24703,1
2016/8/25,6279.8,6285,6188,6280,11643,24910,1
2016/8/26,6305.8,6379.4,6262,6279.2,11926,25190,1
2016/8/29,6279.2,6347.4,6279,6327.2,10281,25084,1
2016/8/30,6329,6377,6300,6330,10811,25325,1
2016/8/31,6326.8,6349.6,6272,6343,10943,24952,1
2016/9/1,6340,6357,6265.8,6279,9918,24715,1
2016/9/2,6273.2,6333.4,6251,6271,11016,25085,1
2016/9/5,6302.6,6357,6296.8,6309.2,10397,23952,1
2016/9/6,6312.8,6449.8,6251,6445.8,13791,23814,1
2016/9/7,6452,6477,6423,6429,10452,21676,1
2016/9/8,6430,6482.2,6430,6477.2,9125,20658,1
2016/9/9,6475,6487.2,6440.4,6445,9821,18857,1
2016/9/12,6340,6355.2,6252.6,6256,12212,16207,1
2016/9/13,6298.2,6313,6277,6292.2,9278,11375,1
2016/9/14,6271.4,6308.8,6260,6270,7367,6057,1
2016/9/19,6299,6334.4,6290,6330.8,4009,0,1
2016/9/20,6223.6,6232,6200.4,6217.6,7581,19903,1
2016/9/21,6228,6268,6218,6248.2,8710,20178,1
2016/9/22,6280,6332.8,6280,6293.2,9687,20397,1
2016/9/23,6316.2,6316.2,6286,6298.6,7098,20297,1
2016/9/26,6288.6,6298.6,6185.2,6201.2,10152,20838,1
2016/9/27,6238.8,6251,6172,6245.6,9823,20957,1
2016/9/28,6248.6,6258,6222.2,6240.2,7648,20352,1
2016/9/29,6254.8,6314,6247.6,6299.8,9244,20178,1
2016/9/30,6289.4,6325.2,6283.2,6318.6,7227,19246,1
2016/10/10,6348.8,6449.6,6168,6444.6,9917,19295,1
2016/10/11,6446.4,6461.8,6435,6454.8,7340,18581,1
2016/10/12,6442,6463.4,6435.8,6448.2,6550,18203,1
2016/10/13,6457.8,6484.4,6442.2,6462,7093,17656,1
2016/10/14,6461.6,6474,6410,6467,8630,16596,1
2016/10/17,6482,6496.8,6376.2,6418,8847,14511,1
2016/10/18,6419.4,6516,6415.4,6505.4,9688,12278,1
2016/10/19,6510.2,6534.4,6479,6491.2,7588,8872,1
2016/10/20,6500.6,6513,6482.6,6499,5547,4783,1
2016/10/21,6497.2,6514.8,6425.2,6451.8,4117,0,1
2016/10/24,6428.8,6506.6,6401.2,6471.4,9400,19546,1
2016/10/25,6488,6495.8,6475.4,6487,6243,19160,1
2016/10/26,6488,6488,6438.8,6471,8054,19406,1
2016/10/27,6471,6474,6423.4,6458.2,7592,19231,1
2016/10/28,6458.6,6485,6395.4,6411,8917,19562,1
2016/10/31,6403.8,6413,6360.4,6407.6,7567,18971,1
2016/11/1,6410,6473.6,6403.8,6465,8223,19130,1
2016/11/2,6455,6461,6397.4,6400,7714,18492,1
2016/11/3,6396.6,6493.4,6392.4,6435,9540,18783,1
2016/11/4,6435,6477.8,6406.4,6419.6,7402,17934,1
2016/11/7,6438.8,6454,6398,6409,7276,17408,1
2016/11/8,6434,6488,6425,6469,8041,16619,1
2016/11/9,6467.4,6475.8,6307.2,6405,11217,16148,1
2016/11/10,6473,6517.6,6472,6499,8109,14854,1
2016/11/11,6496.8,6573.6,6485,6563,8360,14274,1
2016/11/14,6552.6,6618,6547.2,6586.6,8049,12627,1
2016/11/15,6580,6608,6575,6601.8,6781,10425,1
2016/11/16,6627,6638,6607.2,6627.4,6203,7573,1
2016/11/17,6520.4,6547,6480,6547,6731,22062,1
2016/11/18,6549.8,6549.8,6492,6506.8,7552,24078,1
2016/11/21,6511.2,6573.2,6502,6523.2,8422,25108,1
2016/11/22,6535.2,6593.6,6531,6593.6,7467,25218,1
2016/11/23,6615,6615,6550.2,6561.8,7611,25466,1
2016/11/24,6568.4,6574.6,6531.8,6547.6,6412,25176,1
2016/11/25,6541,6586.6,6449,6564.8,9326,25200,1
2016/11/28,6595.8,6617.8,6553.2,6596.4,7392,24667,1
2016/11/29,6588,6608.8,6530.2,6556.8,7785,24336,1
2016/11/30,6543,6589,6506.4,6531.2,8352,23756,1
2016/12/1,6540.2,6592.2,6533,6572,7066,22892,1
2016/12/2,6550.2,6563,6430.2,6433,8206,22482,1
2016/12/5,6395,6492,6388,6430,7184,21728,1
2016/12/6,6451.6,6479.8,6421.6,6431.4,6802,20646,1
2016/12/7,6443,6499.6,6417.6,6488.6,7362,19153,1
2016/12/8,6491.2,6505,6475,6488.8,6546,17489,1
2016/12/9,6470,6499.8,6456,6456,6655,16411,1
2016/12/12,6459.2,6492.6,6156.6,6174.6,9657,14249,1
2016/12/13,6188.6,6253.2,6161.6,6231,8125,11735,1
2016/12/14,6231,6292,6197,6224,7622,8307,1
2016/12/15,6217,6304.4,6200,6262.8,6052,4508,1
2016/12/16,6262.4,6324,6262.4,6313,3374,0,1
2016/12/19,6204,6209.4,6153.2,6198,6142,18963,1
2016/12/20,6190.4,6216.4,6164.2,6183.8,6587,19276,1
2016/12/21,6200.4,6264,6200.4,6256.6,6920,19406,1
2016/12/22,6249.4,6254.6,6187.8,6235,6495,19581,1
2016/12/23,6230.2,6235,6170.2,6209.8,6058,19596,1
2016/12/26,6181.6,6226.8,6114.6,6219.8,7211,20025,1
2016/12/27,6216,6237.6,6212,6216,4972,19728,1
2016/12/28,6224.8,6232.6,6186.4,6218,5091,19652,1
2016/12/29,6214.8,6250.8,6184.4,6215.8,6280,19887,1
2016/12/30,6225,6247,6191.2,6210.6,5919,19468,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
